"Path","Bytes","SHA256"
"test-vectors/invalid/cbor-v1/empty-registry/input.json","164","1DA9655FAD0F128F88BD7611E53CD948493C34B5D71D1BB0300DBC0B3DDAAAB0"
"test-vectors/invalid/cbor-v1/empty-registry/invalid.cbor","1","76BE8B528D0075F7AAE98D6FA57A6D3C83AE480A8469E668D7B0AF968995AC71"
"test-vectors/invalid/cbor-v1/empty-registry/invalid.hex","3","95AEBC97BC646C67FDCD923A5965B001F3C8A5C4D3A77075112E12A3A311D760"
"test-vectors/invalid/cbor-v1/indefinite-array/description.md","199","C3FE213A41CCF46E47A2C672A5DB533525B66DE7CCE4A89F451909BBDF7005DB"
"test-vectors/invalid/cbor-v1/indefinite-array/expected.json","186","3BA541FCFB5F7E1C45CCC53EF1DE6CD5FA3A8FA443CAD6CF2139D5FF46485879"
"test-vectors/invalid/cbor-v1/indefinite-array/input.json","162","0C43DD8331F71FEA0CF35F445712280B3CABFA9D13D69E514CDA7CB18076AD65"
"test-vectors/invalid/cbor-v1/indefinite-array/invalid.cbor","1","1F184F101C67D585BA00D24CFDE36863F747FBAB9E84AF7760EC771E9B36CA51"
"test-vectors/invalid/cbor-v1/indefinite-array/invalid.hex","3","3AB94113FBFE11E361F944DDB8743F2EE5ECB95D2492EA669113E24208B0E9DA"
"test-vectors/invalid/cbor-v1/invalid-utf8-text/description.md","174","732A41203545C4D801A9C5E64152DAB9D1B34E412E99B7CD8282259CBBBFACB5"
"test-vectors/invalid/cbor-v1/invalid-utf8-text/expected.json","180","F4250CF919C793ED46658C354BFFC33323D9644FF0083424B5607168A622430D"
"test-vectors/invalid/cbor-v1/invalid-utf8-text/input.json","162","4E024611BDA4887BEA019D2A687CA4D38656FB0E0982E9B116D724BECDB53BD8"
"test-vectors/invalid/cbor-v1/invalid-utf8-text/invalid.cbor","2","8DD06B5AB6B594257E41B7D8DD440A4062EDDC67FDAB5C13B4DC300176896F6E"
"test-vectors/invalid/cbor-v1/invalid-utf8-text/invalid.hex","5","05817D79E7C2EE37B8D7BDDA59B27DA389ECF142B0DD64DC64F97AEAECD50D3C"
"test-vectors/invalid/cbor-v1/non-shortest-unsigned/description.md","205","2E65DCFC2A08C9DD262D52AC8299F0DD6DC44D1FEEF6940937444A58934B4DFE"
"test-vectors/invalid/cbor-v1/non-shortest-unsigned/expected.json","194","0AD9859E36D5237374957EB8A2D9097F9359464C392A4E87A2029A5E8F4415DB"
"test-vectors/invalid/cbor-v1/non-shortest-unsigned/input.json","170","632944884BF90A81F0F617F19D4FA2717D61408D7B1EEB99CCF61775534CDF19"
"test-vectors/invalid/cbor-v1/non-shortest-unsigned/invalid.cbor","2","39BF521A8D4B506198F78CFE94C16DD53D39D745CA35E38562BCDB85E43A71E7"
"test-vectors/invalid/cbor-v1/non-shortest-unsigned/invalid.hex","5","92ADFDA5A32A7C8346A09A681A27688C6910AC688EE8CEAA0BC075BBB2816219"
"test-vectors/invalid/cbor-v1/README.md","499","762B85D6CB28DDB3A2E76DBEA47203B025AD2E095D8AE88AB9C59A2AE5803E47"
"test-vectors/invalid/cbor-v1/too-few-approval-selections/description.md","221","01F9DB588B28FC12C100B3E42D7B424CF93D997FCC284E137247C0ACC372DDDE"
"test-vectors/invalid/cbor-v1/too-few-approval-selections/expected.json","220","ACCE4BC17B2262EEF74DBE3779BE3BB16D60D85B28EBCEF463E80227E731685B"
"test-vectors/invalid/cbor-v1/too-few-approval-selections/input.json","186","A23457D7652880C5DFA782135D2EF5C005307D78FA2B531CBD1E27EBBAC984D9"
"test-vectors/invalid/cbor-v1/too-few-approval-selections/invalid.cbor","1","76BE8B528D0075F7AAE98D6FA57A6D3C83AE480A8469E668D7B0AF968995AC71"
"test-vectors/invalid/cbor-v1/too-few-approval-selections/invalid.hex","3","95AEBC97BC646C67FDCD923A5965B001F3C8A5C4D3A77075112E12A3A311D760"
"test-vectors/invalid/cbor-v1/too-many-approval-selections/description.md","228","DD534B1BBA41D90C5E31C8BDCF08D90CB7750EDA1E87C069C20086DC256F7671"
"test-vectors/invalid/cbor-v1/too-many-approval-selections/expected.json","221","0218B338036C8C110FD0132F3C3CF86F46A96122E43C5CF7C82EEE9BA5492306"
"test-vectors/invalid/cbor-v1/too-many-approval-selections/input.json","187","B78C30C0014046F5DA994207F4D50F981387EE828788B81C90CA8503AE198B92"
"test-vectors/invalid/cbor-v1/too-many-approval-selections/invalid.cbor","5","CDEB20F9D1202485664CEB5970F392D85144A8BE24866E209A0AE8ACF57C5116"
"test-vectors/invalid/cbor-v1/too-many-approval-selections/invalid.hex","11","994C3148EB7EE58433C837C72061CEC08CD9328CAE27B5E57F0EED6EAC962C17"
"test-vectors/invalid/cbor-v1/trailing-registry-data/description.md","209","586ACC0E11C4B4D07C76E505005F5D1E26A6170E98341887ADCAB57B0B76EA52"
"test-vectors/invalid/cbor-v1/trailing-registry-data/expected.json","196","D43DB2720AD04541A5CD6C447CDCA6C3C1CACE49C51CC29972AA3DB1C4EC98CC"
"test-vectors/invalid/cbor-v1/trailing-registry-data/input.json","172","6F365134957A59D61D5E9EB8790AB2D25689EF37561650E654AA11BE6DA3371E"
"test-vectors/invalid/cbor-v1/trailing-registry-data/invalid.cbor","4","B2794EC5CE2D0545718D6120B93DC4DD1A8F9C475406EE53EE4EC85A81AB9A37"
"test-vectors/invalid/cbor-v1/trailing-registry-data/invalid.hex","9","2D8DB06972E878CD11388493F8E619FD3660D50E8B7A279400D76F3122677CF6"
"test-vectors/invalid/cbor-v1/truncated-candidate-set/description.md","199","5831BCC13D22E5B3617AFD0C9469BD94FDDED9233BDC7A5E5327C1FF60A9B5CB"
"test-vectors/invalid/cbor-v1/truncated-candidate-set/expected.json","187","9498C44BCF462DB54B11FEC9FC43096B68D9AE98EA66E74FF1A025337FC5A379"
"test-vectors/invalid/cbor-v1/truncated-candidate-set/input.json","169","E30C9E3519C729C5EC54348AF8CB68489331D1361E307CD8AF457422E8FB1A74"
"test-vectors/invalid/cbor-v1/truncated-candidate-set/invalid.cbor","1","591B7CC95037822DEC5A4D593A2E2E8B19C07DDD2570E5699003D17F14C440A6"
"test-vectors/invalid/cbor-v1/truncated-candidate-set/invalid.hex","3","CE516E29A2CCFE4BAB40E4E6ADAB7661CD695680482C00B1FAA738FC0DF62698"
"test-vectors/invalid/cbor-v1/unknown-approval-selection/description.md","234","F0B0821654B6A82CDE68C4CF2134D56B4999635DC5F4EA830B9E32664592538D"
"test-vectors/invalid/cbor-v1/unknown-approval-selection/expected.json","211","0B9E3B834BC1231D0BB1D28B3E07B6AB6360CDA45E16E36222FD730AF9F8BB6D"
"test-vectors/invalid/cbor-v1/unknown-approval-selection/input.json","185","A8DB3FA36D3C131170F81828352F686A8BA1E175A4A7C08986BFB4684B3E2967"
"test-vectors/invalid/cbor-v1/unknown-approval-selection/invalid.cbor","3","99A18C2A5BCF4CB1E3E7BE16E622045926EFE96F6F04E2020B9907762DC400F4"
"test-vectors/invalid/cbor-v1/unknown-approval-selection/invalid.hex","7","F590E4D3965C0E2A031EDF26A980F4AD6878DB2E5F4B381B07D9C30D705844D1"
"test-vectors/invalid/cbor-v1/unsorted-candidate-id/description.md","189","10C63D1078E5F6616075D5D9172864C0CA893F30BB82E8F2E3939DA9B4D27525"
"test-vectors/invalid/cbor-v1/unsorted-candidate-id/expected.json","191","E27EC7B2611BB1D826D5EF1AA2AD2B78A9A01B396DAEA08810C751321583024B"
"test-vectors/invalid/cbor-v1/unsorted-candidate-id/input.json","168","9E3301D8E4688798DC5ECECE6EBDCD3BB4A1FEE110E15A3976C8F57FE67E923B"
"test-vectors/invalid/cbor-v1/unsorted-candidate-id/invalid.cbor","11","3A0CC4B5AA7565FC21FCD8384E16259DAAD80389636941827F34153A943AC5D1"
"test-vectors/invalid/cbor-v1/unsorted-candidate-id/invalid.hex","23","827F0EBA9553F87D649A1C0B84EF1D969B98F08CCA2AF62AA2B28990F7144346"
"test-vectors/invalid/cbor-v1/unsorted-registry-key/description.md","206","48943AA6A7682DC912C96F0866C87F2A7E3B8F88998EA234A3FDD739B48B982C"
"test-vectors/invalid/cbor-v1/unsorted-registry-key/expected.json","195","77EAB68F0980588BBE6209833AAECC8C050971FAE8CA3C780C6E29348C90F15D"
"test-vectors/invalid/cbor-v1/unsorted-registry-key/input.json","171","E09972454F56A9616B7F0D16397D1DD6335D91538157F0CC87FC07F7E4FB3681"
"test-vectors/invalid/cbor-v1/unsorted-registry-key/invalid.cbor","5","F01F64BF9E50705DE5405DCD832C042A7E2B12DC759908F2CE5EF7FC8E5646E0"
"test-vectors/invalid/cbor-v1/unsorted-registry-key/invalid.hex","11","E327770E8E6F5820377A91568339B31BD7FB3E26A1D90D8F9CB2147C6127DE54"
"test-vectors/invalid/cbor-v1/wrong-candidate-entry-type/description.md","209","C59ACA3947BBBB80CB1A1C2E67339D7FFC75EA92FE158567797AD08C89C7003F"
"test-vectors/invalid/cbor-v1/wrong-candidate-entry-type/expected.json","198","E722B866024007503C8B07670EEE1DA5B29CAD19E1A5F6D93DCA8AD8FFB2F91E"
"test-vectors/invalid/cbor-v1/wrong-candidate-entry-type/input.json","172","DF425A7715D2E66BA97E1CD0FF16E021A4A80E6F04D5C9BD6847080001BA28D2"
"test-vectors/invalid/cbor-v1/wrong-candidate-entry-type/invalid.cbor","3","33F258578230E95C7D61DFDB063A66DFAEFA2CF52A80703808CF681FF99D02D0"
"test-vectors/invalid/cbor-v1/wrong-candidate-entry-type/invalid.hex","7","7B29C7E986C5F7C1DFD583557CF30D13919716DF44ABCBA7E0712B1196ECCFCC"
"test-vectors/invalid/semantic-v1/archive-file-digest-mismatch/description.md","218","3C62A4C3F46847FDE8E2BC9A09D046CA028EA1A706E413D59016D17390936C23"
"test-vectors/invalid/semantic-v1/archive-file-digest-mismatch/expected.json","185","88ED03B6DC9529B0082E89D384300CD63FBDCCD689D0A0D17159499F7977E584"
"test-vectors/invalid/semantic-v1/archive-file-digest-mismatch/scenario.json","195","C3329DB09CD526BA3FD39BAA82D59A1955B4F8AEB2B1BD5FA8D5C4A20832F79E"
"test-vectors/invalid/semantic-v1/archive-manifest-hash-mismatch/description.md","227","81C7F8CDDA67FCDC43D3E24A0B1483B4B24CACD9CC04DE0EC7EBAF68441462BA"
"test-vectors/invalid/semantic-v1/archive-manifest-hash-mismatch/expected.json","189","D75454DBA393C02F06265F40A16026693BBC28AD7DADE270F52459A4C6E0BD92"
"test-vectors/invalid/semantic-v1/archive-manifest-hash-mismatch/scenario.json","199","E8CD667C41C83DEB6E7475E67473FD4EBA320D4E43A255ABE4F0D62AFA3B458A"
"test-vectors/invalid/semantic-v1/archive-provider-mismatch/description.md","220","2C34E0E0A00EE067EA0C0AF486E2297A4974E9783CDFEE538448E742EB1C9DB7"
"test-vectors/invalid/semantic-v1/archive-provider-mismatch/expected.json","180","8920CF3C769A46768122EEDA9F7ACBB46C9DD9F71396B751CFD225C827962D1E"
"test-vectors/invalid/semantic-v1/archive-provider-mismatch/scenario.json","189","019F7DB1D2CBD260170278240A488CF8AFEC3A96A1DED6B32438CC3A3A9C8A1F"
"test-vectors/invalid/semantic-v1/archive-self-reference/description.md","207","4A8EDF217564A5A4EF1EE0AD46DFF4F6AE62DB8D0D3D58ABB07173D68B0D64CE"
"test-vectors/invalid/semantic-v1/archive-self-reference/expected.json","175","BD874CA9B4E60B27A7327C7073E0774D3DDB3B1C95578D0D976FBEC2A942A1A6"
"test-vectors/invalid/semantic-v1/archive-self-reference/scenario.json","183","ADD32BAFD77FCE3CFFB9911E576914DF6C0152FDD2BD5FC8394A4ADD8FCA52D5"
"test-vectors/invalid/semantic-v1/decision-without-submission/description.md","209","8C4F9869A2E258F96EC25B9A388E7421E47C643B036856FC8D3957025CF07BF5"
"test-vectors/invalid/semantic-v1/decision-without-submission/expected.json","179","D56307667B866FCF81077C0CB909A2E545863C0ABF88648031789556ACD0031F"
"test-vectors/invalid/semantic-v1/decision-without-submission/scenario.json","193","63860C74F0EAB934E617F9313BB600CF8AE0FC1DC87E068CD6C781A091D7B8A6"
"test-vectors/invalid/semantic-v1/duplicate-nullifier/description.md","193","14522590D33AD43B49E1DE2818257B8E2E178F72D4D183A08544F7947F1601BA"
"test-vectors/invalid/semantic-v1/duplicate-nullifier/expected.json","167","DD0E15E4FDABBDACF35AE9509AB5CB54C1A05614FC463809AC82FC461325F8E6"
"test-vectors/invalid/semantic-v1/duplicate-nullifier/scenario.json","177","D38DCBEBA862ECD53832CEEF2731468A1594F5741818F08265490080BC14E8B5"
"test-vectors/invalid/semantic-v1/duplicate-replay-decision/description.md","200","854426387BA56EA1507511982C0F0E4510E3335406DEF40338849612B32F8A16"
"test-vectors/invalid/semantic-v1/duplicate-replay-decision/expected.json","179","95E614B80A30EB897FD44A4E49E014FF3159E1EF27F609D49E1ADB92D1B8B103"
"test-vectors/invalid/semantic-v1/duplicate-replay-decision/scenario.json","189","06A5EC7B1DB0A67ADBA8EA4D47008E965D583834C4D6105CE153D86F15CD4349"
